"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-29.125,30.625,NA,9,2,1965,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-22.875,30.375,NA,NA,6,1937,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-23.125,30.375,NA,NA,11,1931,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-24.59391,30.82445,NA,11,12,1963,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-28.375,32.125,NA,20,1,1968,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-24.125,30.375,NA,9,10,1978,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-27.875,31.375,NA,5,12,1985,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-28.375,31.125,NA,8,10,1946,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-30.625,30.375,NA,18,12,1944,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-23.875,30.125,NA,1,11,1921,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-28.5,31.616667,NA,2,11,1967,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-25.125,31.375,NA,9,9,1952,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-22.375,30.625,NA,26,9,1968,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-24.125,30.375,NA,22,10,1980,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-28.375,32.375,NA,24,11,1965,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-23.875,29.875,NA,NA,2,1905,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-29.125,30.125,NA,7,9,1917,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-24.625,30.875,NA,NA,NA,NA,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-22.625,31.125,NA,24,5,1954,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-23.875,29.875,NA,NA,4,1907,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-23.625,30.125,NA,7,2,1970,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-23.625,30.125,NA,31,12,1962,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-23.125,30.125,NA,27,4,1977,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-22.875,30.375,NA,3,11,1979,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-29.801684,30.721737,667.77,25,5,2020,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",8.1,37.5,NA,27,7,1975,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",5.383333,-4.05,NA,3,6,1976,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",9.033333,36.866667,NA,15,5,1976,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",7.766667,-4.933333,NA,16,6,1969,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-3.166667,29.366667,NA,25,9,1976,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",5.85,-4.766667,NA,13,8,1975,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",3.083333,10.416667,NA,NA,1,1904,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-25.316667,32.816667,NA,22,6,1978,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",5.333333,-4.133333,NA,27,6,1956,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",7.45,-7.633333,NA,28,5,1975,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",12.533333,-16.35,NA,28,7,1977,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-29.810048,30.890509,NA,29,4,2022,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-29.63,30.98,NA,27,11,2023,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-29.841881,30.910761,NA,30,4,2023,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-4.98722,38.69416,100,27,7,2000,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-5.44416,30.59333,1225,4,1,2003,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",1.397,9.93,413,NA,10,2005,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.42234,12.300673,491,9,5,2022,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.38535,10.243447,NA,NA,NA,2021,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.3858,10.242098,NA,NA,NA,2021,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.384001,10.242098,NA,NA,NA,2021,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.387598,10.243897,NA,NA,NA,2021,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.38535,10.242548,NA,NA,NA,2021,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.38535,10.242998,NA,NA,NA,2021,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.387598,10.242998,NA,NA,NA,2021,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.555914,2.651235,NA,28,3,1983,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",9.702161,1.709194,NA,12,3,1985,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.74778,2.118633,NA,12,8,1984,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.648873,2.73417,NA,2,7,1983,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",9.352597,2.672911,NA,21,7,1979,3076142
