"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-30.081111,-51.023056,NA,2,11,1949,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.263889,-45.0525,NA,11,7,1980,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22,-42.05,NA,31,8,1989,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.75,-46.3,NA,4,6,1993,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.235,-50.013056,NA,27,11,1911,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.251111,-49.705556,850,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.88,-48.439722,NA,18,7,1991,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.46,-46.529722,NA,16,6,1980,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.654444,-46.621944,NA,23,5,1933,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.48,-47.84,NA,8,12,1987,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.340556,-49.713611,NA,3,6,1914,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-32.766876,-53.310505,NA,9,1,2024,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.15609,-59.646485,NA,9,7,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.2,-57.11666,297,28,5,1988,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.48333,-53.88333,540,16,4,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.21666,-57.15,NA,25,6,1988,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.91666,-56.25,NA,17,2,1989,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.0036,-49.6366,510,26,5,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.4059,-49.2285,NA,23,5,2014,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.2385,-48.7497,75,27,2,1997,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.4481,-49.2404,920,15,5,2014,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.3276,-49.5084,NA,22,5,2013,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.3887,-49.0036,NA,26,6,1997,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.5196,-48.3119,12,12,10,2013,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.8452,-48.5745,NA,11,7,1989,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.4026,-48.7013,76,7,6,2017,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.5917,-48.5558,20,29,9,1995,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.006064,-51.647106,788,6,8,2019,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.3725,-49.034,940,30,1,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.2414,-50.0028,NA,24,4,1992,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.9031,-48.6252,NA,3,5,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.329075,-48.861036,29,25,5,2019,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.7222,-52.0239,650,11,3,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.387493,-50.184981,817,6,3,2019,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.099339,-48.931286,748,23,10,2019,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.099279,-48.93125,771,23,10,2019,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.846179,-51.135059,40,12,11,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-34.635033,-58.445947,15,11,6,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.496667,-48.982194,1004,18,4,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.745,-52.461667,404,1,9,2015,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.52025,-52.444611,683,5,6,2012,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.966389,-51.088861,1170,17,10,2014,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.162778,-54.886944,NA,2,5,2016,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.173611,-48.612778,15,9,2,2017,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.085556,-51.894167,720,19,12,2018,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.35825,-51.9015,408,31,8,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.810222,-48.911556,311,4,2,2012,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.760278,-49.103611,1105,26,6,2013,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.156944,-51.700278,149,16,5,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.63,-48.691667,65,21,8,2017,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.101111,-52.326167,562,30,3,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.103722,-52.325694,578,23,2,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.87,-56.88,NA,26,5,2018,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.792222,-50.431111,399,4,5,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.75136,-51.143791,NA,NA,10,1941,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.7041501,-46.7601127,NA,18,12,1942,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.965,-46.327531,0,10,4,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.1025,-50.879167,NA,19,2,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.597778,-51.389722,550,9,7,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.179444,-50.780556,724,6,12,2005,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.098056,-50.874444,570,3,9,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.118611,-50.8325,650,21,1,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.120556,-50.827778,650,21,1,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-21.55,-43.5,778,13,9,1994,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-21.9236,-46.3861,NA,24,10,2011,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.4339,-45.0711,NA,3,6,1995,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.7553,-46.1447,NA,26,8,1999,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.870251,-47.077171,NA,4,11,2004,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.3239,-50.6156,NA,19,10,1991,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.7553,-46.1447,NA,18,7,2001,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.274444,-49.160833,NA,11,12,1997,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.4339,-45.0711,NA,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.870251,-47.077171,NA,8,5,1951,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.6458,-47.1961,NA,25,8,1956,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.715023,-47.087668,NA,24,4,2001,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-21.9236,-46.3861,NA,24,10,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.9056,-47.0608,NA,10,10,1968,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.9475,-42.03,75,29,1,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-11.476667,-55,0,9,11,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.08,-47.93,6,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.608333,-47.88,0,17,7,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.2025,-49.4,0,18,12,1997,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.608333,-47.88,0,16,2,1995,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.897839,-50.169714,7,21,1,2015,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.3625,-52.875556,NA,29,6,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.341111,-52.721111,NA,2,10,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.290833,-52.104444,467,12,4,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.792222,-50.431111,798,4,5,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.561379,-55.704179,NA,8,9,1993,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.1667,-49.3,NA,10,1,1985,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.93333,-54.26667,NA,15,3,1994,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.897778,-50.169722,7,21,1,2015,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-30.65,-51.48,NA,12,12,1892,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.745,-46.353056,NA,14,2,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.778889,-46.298056,NA,23,9,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.478611,-41.883056,NA,17,10,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.416667,-57.166667,NA,1,12,1988,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.761944,-46.3375,NA,11,4,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.951944,-43.211944,NA,11,8,1959,5571838
