"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.736944,-47.975,NA,8,8,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.742222,-48.149722,NA,7,8,2013,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.742222,-48.149722,NA,3,4,2013,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-6.230556,-48.428611,140,22,4,2004,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.301944,-42.431389,915,20,6,2017,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.86,-49.32,NA,8,9,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-28.203056,-50.759444,650,5,5,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.996389,-50.923889,540,21,7,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-6.590278,-47.455833,150,8,3,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.873611,-51.063333,729,29,11,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-6.586389,-47.444722,180,21,2,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-6.846111,-47.531667,140,23,2,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.08,-43.92,NA,9,3,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.3044,-48.8456,NA,1,7,1999,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.9056,-47.0608,NA,13,8,1995,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.694886,-46.668492,NA,16,6,1994,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.111861,-46.927972,NA,5,4,1995,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.1019,-47.7147,NA,19,7,1994,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.3503,-47.6886,NA,27,2,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.714883,-47.092482,NA,13,7,2000,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.7553,-46.1447,NA,17,7,2001,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.4764,-46.6328,NA,16,8,1968,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.5475,-46.6361,NA,13,10,1931,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-28.5167,-56.0501,NA,2,12,1970,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.80072,-47.042242,NA,15,6,2004,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-21.2501,-63.5001,NA,23,5,1971,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.801017,-47.042331,NA,16,10,2003,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.8333,-55.1,NA,26,5,1946,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.266667,-49.15,NA,10,12,1997,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.111861,-46.927972,NA,22,5,1998,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.423889,-48.35056,NA,9,9,1986,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.423889,-48.35056,NA,NA,NA,NA,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.7975,-48.5928,NA,5,4,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.708056,-49.316389,NA,1,10,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.4897,-48.4128,NA,10,12,1986,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.295556,-46.706111,NA,2,11,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-21.1858,-48.9072,NA,11,10,1938,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.4339,-45.0711,NA,20,6,1972,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.862972,-47.067556,NA,28,4,2006,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.749258,-46.965308,NA,20,6,2001,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.080138,-46.89892,NA,11,6,2014,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-11.2222,-50.6692,NA,12,8,1997,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.7553,-46.1447,NA,14,10,1999,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.809732,-65.283515,NA,24,8,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.131861,-51.453012,640.41,2,11,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.510833,-48.16,405,19,8,1997,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-5.428611,-56.9,38.5,25,4,2013,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-16.640278,-48.02,382,25,9,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-3.833333,-58.5,0,9,7,1983,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.416667,-46.98,0,24,5,1980,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-3.416667,-57.92,0,25,7,1983,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.167778,-51.077778,817,4,9,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.226308,-51.339822,745,15,9,2023,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.83225,-50.134111,12,13,9,2015,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-28.549444,-49.603889,314,15,6,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.458333,-49.862222,544,29,4,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.108208,-51.363361,385,2,11,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.721111,-49.229167,803,17,6,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.367778,-48.759722,252,6,7,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.612519,-53.736147,NA,23,3,2011,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.169722,-59.456944,500,15,4,2023,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.3125,-51.260833,156,20,6,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-28.844444,-51.726944,554,10,5,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.926036,-54.864482,NA,1,8,1987,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.64,-53.25,NA,13,1,1893,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-16.566389,-49.156944,NA,13,4,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.096944,-55.482778,450,25,11,1997,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.540278,-46.31,NA,7,9,1991,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.779722,-47.929444,NA,23,5,1979,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-17.35,-51.77,900,29,6,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.85,-52.25,NA,14,1,1968,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.615556,-48.627222,900,11,8,1960,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.191667,-39.495278,NA,27,5,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.47,-52.18,500,18,6,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.754167,-42.881667,700,17,9,1930,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.540278,-46.63,NA,22,2,1918,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.908056,-48.661667,150,6,5,1955,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.744722,-51.307778,NA,3,8,1999,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.779722,-47.929444,NA,23,1,1980,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.616667,-47.666667,NA,22,7,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.779722,-47.929444,NA,30,4,1963,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.535833,-49.486389,NA,12,5,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.25,-47.819722,NA,6,4,1977,3784297
