"sp"	"x"	"y"
"155"	"Ramphastos dicolorus"	-46.633309	-23.55052
"156"	"Ramphastos dicolorus"	-46.633309	-23.55052
"157"	"Ramphastos dicolorus"	-46.633309	-23.55052
"158"	"Ramphastos dicolorus"	-43.177914	-22.511264
"159"	"Ramphastos dicolorus"	-47.974033	-24.141417
"160"	"Ramphastos dicolorus"	-48.406944	-24.265278
"161"	"Ramphastos dicolorus"	-51.463972	-23.550438
"162"	"Ramphastos dicolorus"	-52.409625	-28.258055
"163"	"Ramphastos dicolorus"	-48.781786	-27.685684
"164"	"Ramphastos dicolorus"	-53.483223	-30.514827
"165"	"Ramphastos dicolorus"	-47.223489	-23.660101
"166"	"Ramphastos dicolorus"	-48.54822	-27.59487
"167"	"Ramphastos dicolorus"	-45.531675	-23.261639
"168"	"Ramphastos dicolorus"	-51.605959	-27.347056
"169"	"Ramphastos dicolorus"	-47.974033	-24.141417
"170"	"Ramphastos dicolorus"	-47.974033	-24.141417
"171"	"Ramphastos dicolorus"	-49.26952	-26.825137
"172"	"Ramphastos dicolorus"	-46.590279	-23.319505
"173"	"Ramphastos dicolorus"	-50.650946	-25.47003
"174"	"Ramphastos dicolorus"	-45.424145	-23.62559
"175"	"Ramphastos dicolorus"	-51.111491	-29.378219
"176"	"Ramphastos dicolorus"	-48.406944	-24.265278
"177"	"Ramphastos dicolorus"	-48.406944	-24.265278
"178"	"Ramphastos dicolorus"	-49.324715	-27.732571
"179"	"Ramphastos dicolorus"	-48.406944	-24.265278
"180"	"Ramphastos dicolorus"	-45.854453	-22.659317
"181"	"Ramphastos dicolorus"	-40.659816	-20.360778
"182"	"Ramphastos dicolorus"	-47.974033	-24.141417
"183"	"Ramphastos dicolorus"	-48.406944	-24.265278
"184"	"Ramphastos dicolorus"	-47.858	-25.1219
"185"	"Ramphastos dicolorus"	-48.406944	-24.265278
"186"	"Ramphastos dicolorus"	-48.406944	-24.265278
"187"	"Ramphastos dicolorus"	-51.200376	-29.030385
"188"	"Ramphastos dicolorus"	-48.406944	-24.265278
"189"	"Ramphastos dicolorus"	-46.633309	-23.55052
