"species"	"decimalLongitude"	"decimalLatitude"
"221"	"Ramphastos dicolorus"	-46.495514	-20.250603
"222"	"Ramphastos dicolorus"	-48.2985	-24.312246
"223"	"Ramphastos dicolorus"	-44.624233	-22.406586
"224"	"Ramphastos dicolorus"	-46.624302	-23.638569
"225"	"Ramphastos dicolorus"	-43.48842	-20.097742
"226"	"Ramphastos dicolorus"	-44.624233	-22.406586
"227"	"Ramphastos dicolorus"	-44.624233	-22.406586
"228"	"Ramphastos dicolorus"	-44.624233	-22.406586
"229"	"Ramphastos dicolorus"	-50.61154	-29.44292
"230"	"Ramphastos dicolorus"	-50.062122	-29.155666
"231"	"Ramphastos dicolorus"	-44.624233	-22.406586
"232"	"Ramphastos dicolorus"	-50.61154	-29.44292
"233"	"Ramphastos dicolorus"	-48.680305	-26.227888
"234"	"Ramphastos dicolorus"	-44.624233	-22.406586
"235"	"Ramphastos dicolorus"	-48.680305	-26.227888
"236"	"Ramphastos dicolorus"	-44.624233	-22.406586
"237"	"Ramphastos dicolorus"	-48.2985	-24.312246
"238"	"Ramphastos dicolorus"	-48.833794	-25.477987
"239"	"Ramphastos dicolorus"	-44.61104	-22.444906
"240"	"Ramphastos dicolorus"	-45.642	-22.6797
"241"	"Ramphastos dicolorus"	-45.58983	-22.73724
"242"	"Ramphastos dicolorus"	-44.624233	-22.406586
"243"	"Ramphastos dicolorus"	-44.756813	-22.373522
"244"	"Ramphastos dicolorus"	-48.2985	-24.312246
"245"	"Ramphastos dicolorus"	-44.61104	-22.444906
"246"	"Ramphastos dicolorus"	-44.63121	-22.40947
"247"	"Ramphastos dicolorus"	-48.41807	-24.30127
"248"	"Ramphastos dicolorus"	-48.41807	-24.30127
"249"	"Ramphastos dicolorus"	-44.7428	-22.33249
"250"	"Ramphastos dicolorus"	-44.61227	-22.43007
"251"	"Ramphastos dicolorus"	-53.891762	-26.472295
"252"	"Ramphastos dicolorus"	-53.891762	-26.472295
"253"	"Ramphastos dicolorus"	-53.891762	-26.472295
"254"	"Ramphastos dicolorus"	-54.447448	-25.680712
"255"	"Ramphastos dicolorus"	-47.42664	-24.266586
"256"	"Ramphastos dicolorus"	-55.55	-25.25
"257"	"Ramphastos dicolorus"	-55	-10
"258"	"Ramphastos dicolorus"	-40.43333	-5.43333
"259"	"Ramphastos dicolorus"	-53.18333	-29.66667
"260"	"Ramphastos dicolorus"	-53.18333	-29.66667
"261"	"Ramphastos dicolorus"	-55.55	-25.25
"262"	"Ramphastos dicolorus"	-49.7762	-23.2675
"263"	"Ramphastos dicolorus"	-53.18333	-29.66667
"264"	"Ramphastos dicolorus"	-48.04078	-23.58712
"265"	"Ramphastos dicolorus"	-53.18333	-29.66667
"266"	"Ramphastos dicolorus"	-44.756813	-22.373522
"267"	"Ramphastos dicolorus"	-54.00446	-26.504055
"268"	"Ramphastos dicolorus"	-53.981667	-26.520718
"269"	"Ramphastos dicolorus"	-53.981667	-26.520718
"270"	"Ramphastos dicolorus"	-54.168785	-25.857317
"271"	"Ramphastos dicolorus"	-45.642	-22.6797
"272"	"Ramphastos dicolorus"	-45.617817	-22.73123
"273"	"Ramphastos dicolorus"	-48.410725	-24.21524
"274"	"Ramphastos dicolorus"	-44.756813	-22.373522
"275"	"Ramphastos dicolorus"	-42.642143	-22.443958
"276"	"Ramphastos dicolorus"	-53.981667	-26.520718
"277"	"Ramphastos dicolorus"	-54.10235	-26.630362
"278"	"Ramphastos dicolorus"	-54.168785	-25.857317
"279"	"Ramphastos dicolorus"	-53.959457	-25.859821
"280"	"Ramphastos dicolorus"	-54.168785	-25.857317
